author;title;subtitle;title_without_sub;edition;date;location;publishing-house
Meding, Oskar;Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;"Aus: Um Zepter und Kronen, Dreizehntes Kapitel ; Zeitroman";Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;;1906;langensalza;wendt & klauwell
Bierbaum, Otto Julius;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman";Prinz Kuckuck;;1907;;
Mohr, Mary L. F.;Zuchthaus;"Erziehung einer schönen Seele ; Zeitroman";Zuchthaus;;1907;leipzig;moderner dresdner verl., stoll
Polko, Karl;Soziale Klippen;Ein Zeitroman von Karl Polko;Soziale Klippen;;1907;dresden;reißner
Ropp, Max Alexis von der;Elkesragge;Ein baltischer Zeitroman von Max Alexis v. der Ropp;Elkesragge;;1907;berlin;e. fleischel & co
Heimdall;Berlins Ende;Zeitroman von Heimdall;Berlins Ende;;1908;berlin & leipzig;h. seemann
Romanus, Helius;Modernisten;"Helius Romanus ; Zeitroman";Modernisten;;1908;berlin-leipzig;c. wigand
Zapp, Arthur;Hurraschreier;Ein Zeitroman;Hurraschreier;;1908;dresden;reißner
Baitz, Josef;Ecce sacerdos;"Josef Baitz ; Ein Zeitroman";Ecce sacerdos;;1909;dresden;pierson
Fuhrmann, Otto;Von Eulenburg zu Zeppelin;Ein Zeitroman;Von Eulenburg zu Zeppelin;;1909;berlin;walther
Prosper, E.;Was ich in Plaskowitsch erlebt;Ein Zeitroman;Was ich in Plaskowitsch erlebt;;1909;graz [u.a.];"verl.-buchh. ""styria"
Szafranski, Telesfor;Goldauge;"Torn, Teo v. [d.i. Szafranski, Telesfor] ; Zeitroman";Goldauge;;1909;;
Fischer-Markgraff, Elisabeth;Surrogate;Ein Zeitroman von E. Fischer-Markgraff;Surrogate;;1910;berlin;taendler
Mülleneisen, Jak;Gelehrtenproletariat : ein Zeitroman;ein Zeitroman;Gelehrtenproletariat : ein Zeitroman;;1912;leipzig;hoffmann
Stilgebauer, Edward;Das rote Gold;Satirischer Zeitroman von Edward Stilgebauer;Das rote Gold;;1912;dresden;reissner
Aellen, Hermann;Heimatfeinde;Ein Berner Volks- u. Zeitroman;Heimatfeinde;;1914;bern;wyß
Guseck, Bernd;Der Welfenlegionär;"Erzählung aus der Geschichte der Gegenwart ;  Zeitroman";Der Welfenlegionär;4.-8. Tsd;1914;berlin;janke
Kreutzer, Guido;Wetterleuchten;"Guido Kreutzer ; Zeitroman";Wetterleuchten;;1915;berlin;c. duncker
Molo, Walter;Lebenswende;Ein Zeitroman von Walter v. Molo;Lebenswende;;1915;berlin;kronen-verl.
Wothe, Anny (1858-1919);Die den Weg bereiten : ein Zeitroman;ein Zeitroman;Die den Weg bereiten : ein Zeitroman;;1916;hamburg;enoch
Bohnagen, Alfred;Hausmann’s Kinder;Zeitroman von Alfred Bohnagen;Hausmann’s Kinder;;1917;werdau i.s.;meister
Hagen, Wilhelm;Die heilige Not;Zeitroman;Die heilige Not;;1917;berlin;duncker
