die tageszeitung, 07.03.2003, S. 17 (Manuel Gogos).;07;03;2003;6;
Süddeutsche Zeitung, 13.03.2003, S. 16 (Christoph Bartmann).;13;03;2003;12;
Der Spiegel, 01.03.2003, S. 146 (Doja Hacker).;01;03;2003;0;
Frankfurter Rundschau, 08.03.2003, S. 12 (Peter Michalzik).;08;03;2003;7;
Die Weltwoche, 20.03.2003, S. 84 (Hans-Peter Kunisch).;20;03;2003;19;
Süddeutsche Zeitung, 12.04.2003, S. 18 (Marica Bodrozic).;12;04;2003;42;
Der Standard (Album), 19.04.2003, S. A7 (Günther Fischer).;19;04;2003;49;
Rheinischer Merkur, 17.07.03 (Anastasia Simopoulos).;
Der Tagesspiegel, 23.07.2003, S. 23 (Peter von Becker).;23;07;2003;144;
Neue Zürcher Zeitung, 19.03.2003 (Dorothea Dieckmann).;19;03;2003;18;
Stuttgarter Zeitung, 12.03.2003 (o. V.).;12;03;2003;11;
Saarbrücker Zeitung, 11.04.2003 (Bert Bugdahl).;11;04;2003;41;
Die Zeit, 13.03.2003 (Jens Jessen).;13;03;2003;12;
Säschische Zeitung, 15.03.2003 (Karin Großmann).;15;03;2003;14;
Nürnberger Nachrichten, 12.03.2003 (Roland Mischke).;12;03;2003;11;
Bonner General-Anzeiger, 11.04.2003, S. 14 (Peter Mohr).;11;04;2003;41;
Dlf, 23.03.2003 (Shirin Sojitrawalla) (www.deutschlandfunk.de/esra.700.de.html?dram:article_id=80790);23;03;2003;22;
Welt am Sonntag, 16.03.2003, S. 5 (gt).;16;03;2003;15;
die tageszeitung, 05.07.2003 (Lottmann, Joachim);05;07;2003;126;
die tageszeitung, 09.08.2003, S. 13 (Gerrit Bartels).;09;08;2003;161;
Die Presse (Spectrum), 09.08.2003, S. VI (Christoph Bartmann).;09;08;2003;15;
Stuttgarter Zeitung, 01.08.2003, S. 32 (Helmut Böttiger).;01;08;2003;7;
Neue Zürcher Zeitung, 29.07.2003, S. 33 (Andreas Breitenstein).;29;07;2003;4;
Der Tagesspiegel, 01.08.2003, S. 25 (Caroline Fetscher).;01;08;2003;7;
Falter, 01.08.2003, S. 56–57 (Bernhard Fetz).;01;08;2003;7;
Der Standard (Album), 26.07.2003, S. A5 (Stefan Gmünder).;26;07;2003;1;
Frankfurter Allgemeine Zeitung, 02.08.2003, S. 42 (Richard Kämmerlings).;02;08;2003;8;
Die Welt (Die literarische Welt), 02.08.2003, S. 3 (Tilman Krause).;02;08;2003;8;
Frankfurter Rundschau, 08.10.2003, S. 11 (Heribert Kuhn).;08;10;2003;75;
Tiroler Tageszeitung (Magazin), 26.07.2003, S. 6 (Christine Mach).;26;07;2003;1;
ff - Das Südtiroler Wochenmagazin, 31.07.2003, S. 44–45 (Georg Mair).;31;07;2003;6;
Der Freitag, 07.01.2005, S. 14 (Norbert Mappes-Niediek).;07;01;2005;532;
Rheinischer Merkur, 07.08.2003, S. 20 (Roland Mischke).;07;08;2003;13;
Süddeutsche Zeitung, 26.07.2003, S. 11 (Lothar Müller).;26;07;2003;1;
Neues Deutschland, 08.12.2003, S. 12 (Sabine Neubert).;08;12;2003;136;
Oberöstereichische Nachrichten, 18.09.2003, S. 8 (Christian Pichler).;18;09;2003;55;
Echo, 25.09.2003, S. 112 (ra).;25;09;2003;62;
Die Zeit, 22.12.2003, S. 46 (Iris Radisch).;22;12;2003;150;
Sächsische Zeitung, 06.08.2003, S. 7 (Cornelia Resik).;06;08;2003;12;
Die Weltwoche, 21.08.2003, S. 76–77 (Hansjörg Schertenleib).;21;08;2003;27;
Wiener Zeitung (extra), 10.10.2003, S. 6 (Uwe Schütte).;10;10;2003;77;
Die Furche, 14.08.2003, S. 18 (Brigitte Schwens-Harrant).;14;08;2003;20;
profil, 04.08.2003, S. 125 (Daniela Strigl).;04;08;2003;10;
Der Spiegel, 28.07.2003, S. 124 (Barbara Supp).;28;07;2003;3;
Salzburger Nachrichten (Lebensart), 25.11.2003, S. VII (Anton Thuswaldner).;25;11;2003;123;
Basler Zeitung, 29.08.2003 (o. V.).;29;08;2003;35;
Kurier, 02.08.2003 (o. V.).;02;08;2003;8;
Passauer Neue Presse, 15.11.2003 (Gudrun Bergmann).;15;11;2003;113;
Darmstädter Echo, 27.08.2003 (Breckner).;27;08;2003;33;
Nürnberger Zeitung 20.08.2003 (Thomas Heinold).;20;08;2003;26;
Neue Vorarlberger Tageszeitung, 07.08.2003 (Werner Krause).;07;08;2003;13;
Kölner Stadtanzeiger, 13.08.2003 (Friedhelm Marx).;13;08;2003;19;
Aargauer Zeitung, 03.09.2003, S. 11 (Hans Ulrich Probst).;03;09;2003;40;
Format, 25.07.2003 (Susanne Rössler).;25;07;2003;0;
Rheinische Post, 29.10.2003 (Lothar Schröder).;29;10;2003;96;
die tageszeitung, 04.09.2003 (Carola Ebeling).;04;09;2003;41;
