Nr;NrKritiker;Kritiker;Rezension;WerkNr;Genrezuordnung_ausgeschrieben;Genrezuordnung_formal;Objektbezug-basal;Summe_referenzialisierbare_referenzialisierte Figuren;Objektbezug-basal_Anteil_Figuren;Objektbezug-basal_Anteil_Ereignisse;Objektbezug-basal_Anteil_Orte;Objektbezug-basal_unspezifisch_Orte;Objektbezug-basal_unspezifisch_Ereignisse;Objektbezug-basal_unspezifisch_gesamt;Objektbezug-basal_Ähnlichkeit;Objektbezug-basal_Genese;Referenzialisierbare_Figuren;Objektbezug-basal_unspezifisch_Figuren;Objektbezug-basal_intendiert;Objektbezug-basal_erkennbar;Objektbezug-basal_Referenz;Referenzialisierte_Figuren;Referenzialisierte_unverschlüsselte_Figuren;Exemplifikation-basal;Exemplifikation-basal_Anteil_Figuren;Exemplifikation-basal_Anteil_Gesellschaft;Exemplifikation-basal_Anteil_Stimmung;Instanziierung-basal;Klassenidentität-basal;Explizite-Wahrheit-basal_Anzahl;Explizite-Wahrheit-basal_ordinal;Bewertung_explizite_Wahrheit;Implizite-Wahrheit-basal;Bewertung_implizite_Wahrheit;Arg_Auseinandersetzung_impl_expl_Wahrheit;Isomorphie-basal;Vorkommen_Begriff_Erzähler;Explizite_Unterscheidung_Autor_Erzähler;Identifikation_Autor_Erzählerfigur;Impl_Identifikation_Autor_Erzähler;Ästhetische_Wertung;Absprechen_Literaturstatus;Epochenspezifisches_Thema;Universelles_Thema;Thematisierung_Sprache_Stil;Bewertung_Sprache_Stil;Moralische_Wertung;Kritik_anderer_Interpretationen;Tage_seit_Erstrezension
SR-Rez1;1;Assheuer, Jan;Die Zeit, 02.06.2002 (Jan Assheuer).;0;Kritikerroman, Enthüllungsbuch;0;2;2;2;0;0;0;0;1;0;0;0;1;1;0;1;2;1;1;1;0;0;0;0;0;-;0;3;0;0;0;1;1;0;0;-;0;1;0;0;0;0;0;4
SR-Rez2;2;Kaiser, Joachim;Süddeutsche Zeitung (München), 05.06. 2002 (Joachim Kaiser).;0;"Roman; Literatur-Krimi";0;2;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;2;1;7
SR-Rez3;3;Strigl, Daniela;Der Standard (Album), 06.07.2002, S. 1 (Daniela Strigl).;0;Schlüsselroman, Parabel, Satire;1;4;4;4;0;0;0;0;2;1;0;1;2;1;0;1;3;1;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;2;0;0;1;1;0;-;0;38
SR-Rez4;4;Wimmer, Kurt;Die Furche, 18.07.2002, S. 15 (Kurt Wimmer).;0;Roman;0;2;2;2;0;0;0;0;1;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;50
SR-Rez5;5;Hörisch, Jochen;Frankfurter Rundschau, 27.06.2002, S. 22 (Jochen Hörisch).;0;Schlüsselroman;1;4;4;4;0;0;0;0;4;0;0;0;4;1;0;1;4;1;1;1;0;0;0;0;0;-;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;29
SR-Rez6;6;Klüger, Ruth;Frankfurter Rundschau, 27.06.2002, S. 19 (Ruth Klüger).;0;Roman, Satire;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;3;0;0;0;0;0;-;0;1;0;0;0;0;0;0;0;3;0;1;0;1;1;0;0;29
SR-Rez7;7;Becker, Peter von;Der Tagesspiegel, 27.06.2002, S. 27 (Peter von Becker).;0;"Roman; Nobelkolportage";0;5;2;2;0;3;3;0;4;1;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;3;0;1;0;1;1;1;1;29
SR-Rez8;8;Jessen, Jens;Die Zeit, 27.06.2002, S. 45 (Jens Jessen).;0;Literatursatire, Schlüsselroman;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;29
SR-Rez9;9;Reemtsma, Jan Philipp;Frankfurter Allgemeine Zeitung, 27.06.2002, S. 47–48 (Jan Philipp Reemtsma).;0;Roman;0;2;2;2;0;0;0;0;1;0;1;0;1;1;0;1;2;0;2;2;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;29
SR-Rez10;10;Pichler, Christian;Oberösterreichische Nachrichten, 05.07.2002, S. 7 (Christian Pichler).;0;Roman, Parodie;0;4;2;2;1;1;1;1;2;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;37
SR-Rez11;11;Bartmann, Christoph;Die Presse (Spectrum), 29.06.2002, S. V (Christoph Bartmann).;0;ein grotesker Mummenschanz;0;4;3;3;0;1;1;0;1;1;0;1;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;1;1;31
SR-Rez12;12;Schütt, Hans-Dieter;Neues Deutschland, 26.06.2002, S. 9 (Hans-Dieter Schütt).;0;Roman, Satire, Kolportage-Story;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;1;28
SR-Rez13;13;Krause, Tilman;Die Welt, 27.06.2002, S. 28 (Tilman Krause).;0;Skandalbuch, Roman;0;4;4;4;0;0;0;0;1;1;0;1;1;2;0;2;3;0;0;0;0;0;0;0;1;-;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;2;1;29
SR-Rez14;14;Arend, Ingo;Der Freitag, 14.06.2002, S. 14 (Ingo Arend).;0;Rollenprosa, Schmähschrift;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;2;1;16
SR-Rez15;15;Greiner, Ulrich;Die Zeit, 06.06.2002, S. 39 (Ulrich Greiner).;0;"Schlüsselroman; eine Mischung aus Satire, Pamphlet und Kolportage";1;6;6;6;0;0;0;0;0;0;0;0;0;1;6;7;6;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;2;0;1;0;0;0;0;1;8
SR-Rez16;16;Bittermann, Klaus;die tageszeitung, 17.06.2002, S. 20 (Klaus Bittermann).;0;Roman;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;-;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;-;1;19
SR-Rez17;17;Meyer, Martin;Neue Zürcher Zeitung, 01.06.2002, S. 33 (Martin Meyer).;0;"Rollenprosa, Kolportage, Persiflage, eine gequälte ""Satire"", Roman";0;5;5;5;0;0;0;0;4;0;0;0;4;1;0;1;5;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;3
SR-Rez18;18;Strobl, Sabine;Tiroler Tageszeitung (Magazin), 08.06.2002, S. 6 (Sabine Strobl).;0;Skandalbuch, Satire;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;10
SR-Rez19;19;Müller-Schöll, Ulrich;Der Freitag, 07.06.2002, S. 11 (Ulrich Müller-Schöll).;0;Gebrauchsroman, Rollenprosa;0;3;3;3;0;0;0;0;0;0;1;0;0;1;3;3;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;2;1;9
SR-Rez20;20;Baron, Ulrich;Rheinischer Merkur, 06.06.2002, S. 8 (Ulrich Baron).;0;Schlüsselroman, Enthüllungsgeschichte;1;4;4;4;0;0;0;0;1;0;0;0;1;3;0;3;4;0;0;0;0;0;0;1;0;-;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;8
SR-Rez21;21;Öhler, Andreas;Rheinischer Merkur, 06.06.2002, S. 8 (Andreas Öhler).;0;Kolportage, persiflierendes Satyrspiel, Klatschroman;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;-;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;8
SR-Rez22;22;-;Vorarlberger Nachrichten, 15.06.2002, S. D11 (o. V.);0;-;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;0;17
SR-Rez23;23;Reichensperger, Richard;Der Standard, 03.06.2002, S. 22 (Richard Reichensperger).;0;"Schlüsselroman, Posse auf den Literaturbetrieb; Roman";0;6;5;5;0;1;1;0;6;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;5
SR-Rez24;24;Winkler, Willi;profil, 03.06.2002, S. 132 (Willi Winkler).;0;Kolportageroman;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;2;1;5
SR-Rez25;25;Schmitter, Elke;Der Spiegel, 03.06.2002, S. 182–184 (Elke Schmitter).;0;Schlüsselroman, Satire;1;4;4;4;0;0;0;0;0;0;0;0;0;1;4;4;4;0;1;1;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;5
SR-Rez26;26;Karasek, Hellmuth ;Der Tagesspiegel, 31.05.2002, S. 29 (Hellmuth Karasek).;0;Roman;0;4;4;4;0;0;0;0;1;2;0;2;1;1;0;1;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2
SR-Rez27;27;Müller, Lothar ;Süddeutsche Zeitung (München), 31.05.2002 (Lothar Müller).;0;Schlüsselroman;1;5;5;5;0;0;0;0;5;0;0;0;5;1;1;1;5;4;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;2;0;1;0;1;1;2;0;2
SR-Rez28;28;Schirrmacher, Frank;Frankfurter Allgemeine Zeitung, 29.05.2002 (Frank Schirrmacher).;0;Roman;0;4;3;3;1;0;0;1;4;0;0;0;3;1;0;1;3;0;1;1;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;-;1;0;0;1;0;0;0;0
SR-Rez29;29;Köhler, Kai;Literaturkritik.de, 01.06.2002 (www.literaturkritik.de/public/rezension.php?rez_id=5079, zuletzt abgerufen: 15.01.15) (Kai Köhler).;0;Roman;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;0;0;0;0;3;0;2;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;3
SR-Rez30;30;Widmann, Arno;Perlentaucher.de, 05.06.2002 (http://www.perlentaucher.de/vom-nachttisch-geraeumt/martin-walsers-tod-eines-kritikers.html, zuletzt abgerufen: 16.02.2015) (Arno Widmann).;0;Satire, Erzählung;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;4;0;1;1;1;1;-;1;7
SR-Rez31;31;Meller, Marius;Frankfurter Rundschau, 31.05.2002, S. 17 (Marius Meller).;0;Roman, Novelle;0;4;4;4;0;0;0;0;3;0;1;0;3;1;0;1;4;1;2;2;0;0;0;1;0;-;0;1;0;0;0;0;0;0;1;-;0;1;0;1;0;0;0;2
SR-Rez32;32;-;Kurier (Österreich), 22.06.2002, S.30 (o. V.).;0;Schlüsselroman, Farce;1;7;7;7;0;0;0;0;1;1;0;0;1;1;5;6;7;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;24
SR-Rez33;33;Lerf, Matthias;Sonntagszeitung, 02.06.2002, S. 51 (Matthias Lerf).;0;Satire;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;2;1;4
SR-Rez34;34;Koltermann, Ulrike;Lausitzer Rundschau, 03.06.2002 (Ulrike Koltermann).;0;Roman, Schlüsselroman, Dokument einer Hassliebe;1;6;6;6;0;0;0;0;1;1;1;1;1;4;0;4;5;1;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;5
SR-Rez35;35;Bolduan, Viola;Main-Taunus-Kurier, 03.07.2002 (Viola Bolduan).;0;Roman, Satire;0;3;3;3;0;0;0;0;0;1;0;1;0;2;0;2;2;0;0;0;0;0;0;0;3;2;1;1;0;0;1;1;0;1;0;2;0;1;0;1;0;1;0;35
SR-Rez36;36;Dettlinger, Stefan M.;Südkurier, 05.06.2002 (S. Dettlinger).;0;"""Komödie"", Roman";0;3;2;2;0;1;1;0;2;0;1;0;1;0;0;0;2;1;1;0;0;1;0;0;0;-;0;0;0;0;1;1;1;0;0;2;0;1;0;1;1;1;1;7
SR-Rez37;37;Freitag, Wolfgang;Die Presse, 01.06.2002 (Wolfgang Freitag).;0;Schlüsselroman;1;4;4;4;0;0;0;0;0;0;1;1;0;0;3;3;3;0;0;0;0;0;0;0;0;-;0;;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;3
SR-Rez38;38;Kluger, Michael;Frankfurter Neue Presse, 27.06.2002, S. 3 (Michael Kluger).;0;Schlüsselroman, Satire;1;5;5;5;0;0;0;0;4;1;0;1;4;0;0;0;4;0;0;0;0;0;0;0;0;-;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;29
SR-Rez39;39;Knipphals, Dirk;die tageszeitung, 01.06.2002 (Dirk Knipphals).;0;Literaturbetriebssatire, Parodie einer Literaturbetriebssatire, Schlüsselroman;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;3
SR-Rez40;40;Magenau, Jörg;Handelsblatt, 14.06.2002 (Jörg Magenau).;0;grobschlächtige Satire, Roman;0;5;4;4;0;1;1;0;2;1;0;1;1;2;0;2;3;1;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;2;0;1;0;0;0;-;0;16
SR-Rez41;41;Mohr, Peter;Bonner General-Anzeiger, 05.06.2002, S. 12 (Peter Mohr).;0;Roman, Romanabrechnung;0;11;11;11;0;0;0;0;0;1;1;1;0;0;4;4;10;6;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;1;7
SR-Rez42;42;Panic, Ira;Hamburger Morgenpost, 21.06.2002 (Ira Panic).;0;Schlüsselroman;1;4;3;3;0;1;1;0;2;0;0;0;1;0;2;2;3;0;0;0;0;0;0;0;1;-;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;23
SR-Rez43;43;Schreiner, Christoph;Saarbrücker Zeitung, 26.06.2002 (Christoph Schreiner).;0;Schlüsselroman;1;3;3;3;0;0;0;0;0;0;0;0;0;2;1;3;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;28
SR-Rez44;44;Seegers, Amgaard;Hamburger Abendblatt, 25.06.2002, S. 8 (Armgard Seegers).;0;Roman;0;4;3;3;0;1;1;0;1;1;0;0;0;1;2;3;3;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;27
SR-Rez45;45;Speicher, Stephan;Berliner Zeitung, 28.06.2002, S. 9 (Stephan Speicher).;0;Schlüsselroman;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;2;1;30
SR-Rez46;46;Stapf, Detlef;Nordkurier, 04.06.2002 (Detlef Stapf).;0;Schlüsselroman;1;2;2;2;0;0;0;0;1;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;3;1;6
SR-Rez47;47;Wilmes, Hartmut;Kölnische Rundschau, 28.06.2002 (Hartmut Wilmes).;0;Roman;0;3;3;3;0;0;0;0;1;0;0;0;1;0;2;2;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;30
SR-Rez48;48;Frederiksen, Jens;Wormser, Zeitung, 04.06.2002 (Jens Frederiksen).;0;Roman, Polemik;0;5;3;3;0;2;2;0;2;1;0;1;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;2;1;6
SR-Rez49;49;Goldberg, Henryk;Thüringer Allgemeine, 05.06.2002 (Henryk Goldberg).;0;-;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;2;0;7
SR-Rez50;50;Pecht, Andreas;Rhein-Zeitung, 06.06.2002 (Andreas Pecht).;0;Roman, gehässiges Pamphlet;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;-;0;1;0;0;0;1;1;1;0;1;0;1;0;1;1;2;1;8
SR-Rez51;51;Schröder, Lothar;Rheinische Post, 01.06.2002 (Lothar Schröder).;0;Roman;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;3
SR-Rez52;52;Seligmann, Rafael;Rheinische Post, 25.06.2002 (Rafael Seligmann).;0;Kriminal-Satire, Schlüsselroman;1;5;5;5;0;0;0;0;5;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;27
SR-Rez53;53;Clauer, Markus;Die Rheinpfalz, 04.06.2002 (Markus Clauer).;0;Schlüsselroman, verrutschte Literatursatire;1;4;4;4;0;0;0;0;1;0;0;0;1;1;3;3;4;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;6
SR-Rez54;54;Eger, Christian;Mitteldeutsche Zeitung, 31.05.2002 (Christian Eger).;0;Roman;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;1;2
SR-Rez55;55;Jähner, Harald;Berliner Zeitung, 01.06.2002, S. 11 (Harald Jähner).;0;Farce, Satire, Pamphlet;0;2;2;2;0;0;0;0;1;1;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;2;0;1;0;1;1;2;1;3
SR-Rez56;56;Oehlen, Martin;Kölner Stadt-Anzeiger, 27.06.2002 (Martin Oehlen).;0;Roman, Schlüsselroman;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;2;0;1;0;1;1;-;0;29
SR-Rez57;57;Weinzierl, Ulrich;Die Welt, 31.05.2002 (Ulrich Weinzierl).;0;Roman, Schlüsselroman;1;4;4;4;0;0;0;0;1;1;0;1;1;2;1;3;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;2
SR-Rez58;58;Schulte, Bettina;Badische Zeitung, 03.06.2002 (Bettina Schulte).;0;Pamphlet, Satire, Schlüsselroman;1;3;2;2;0;1;1;0;3;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;5
SR-Rez59;59;Groß, Thomas;Mannheimer Morgen, 27.06.2002, S. 8 (Thomas Groß).;0;Roman, Satire;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;-;0;1;0;0;0;1;0;0;0;3;0;1;0;0;0;-;1;29
