Nr;NrKritiker;Kritiker;Rezension;WerkNr;Genrezuordnung_ausgeschrieben;Genrezuordnung_formal;Objektbezug-basal;Summe_referenzialisierbare_referenzialisierte Figuren;Objektbezug-basal_Anteil_Figuren;Objektbezug-basal_Anteil_Ereignisse;Objektbezug-basal_Anteil_Orte;Objektbezug-basal_unspezifisch_Orte;Objektbezug-basal_unspezifisch_Ereignisse;Objektbezug-basal_unspezifisch_gesamt;Objektbezug-basal_Ähnlichkeit;Objektbezug-basal_Genese;Referenzialisierbare_Figuren;Objektbezug-basal_unspezifisch_Figuren;Objektbezug-basal_intendiert;Objektbezug-basal_erkennbar;Objektbezug-basal_Referenz;Referenzialisierte_Figuren;Referenzialisierte_unverschlüsselte_Figuren;Exemplifikation-basal;Exemplifikation-basal_Anteil_Figuren;Exemplifikation-basal_Anteil_Gesellschaft;Exemplifikation-basal_Anteil_Stimmung;Instanziierung-basal;Klassenidentität-basal;Explizite-Wahrheit-basal_Anzahl;Explizite-Wahrheit-basal_ordinal;Bewertung_explizite_Wahrheit;Implizite-Wahrheit-basal;Bewertung_implizite_Wahrheit;Arg_Auseinandersetzung_impl_expl_Wahrheit;Isomorphie-basal;Vorkommen_Begriff_Erzähler;Explizite_Unterscheidung_Autor_Erzähler;Identifikation_Autor_Erzählerfigur;Impl_Identifikation_Autor_Erzähler;Ästhetische_Wertung;Absprechen_Literaturstatus;Epochenspezifisches_Thema;Universelles_Thema;Thematisierung_Sprache_Stil;Bewertung_Sprache_Stil;Moralische_Wertung;Kritik_anderer_Interpretationen;Tage_seit_Erstrezension
SR-Rez75;8;Jessen, Jens;Die Zeit, 13.03.2003 (Jens Jessen).;1;Schlüssel ohne Roman;1;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;12
SR-Rez76;73;Großmann, Karin;Säschische Zeitung, 15.03.2003 (Karin Großmann).;1;Liebesgeschichte;0;4;3;3;0;1;1;0;2;1;0;0;1;0;2;2;3;0;1;0;1;0;0;0;0;-;0;1;0;0;0;1;1;1;0;3;0;0;1;1;1;0;0;14
SR-Rez77;74;Mischke, Roland;Nürnberger Nachrichten, 12.03.2003 (Roland Mischke).;1;Roman;0;4;4;4;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;-;0;0;1;0;0;1;0;11
SR-Rez78;41;Mohr, Peter;Bonner General-Anzeiger, 11.04.2003, S. 14 (Peter Mohr).;1;Roman;0;3;3;3;0;0;0;0;1;0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;0;0;1;0;0;1;0;41
SR-Rez79;75;Sojitrawalla, Shirin;Dlf, 23.03.2003 (Shirin Sojitrawalla) (www.deutschlandfunk.de/esra.700.de.html?dram:article_id=80790);1;Liebesroman, zeitgemäßer Familienroman;0;3;1;1;0;2;2;0;2;1;0;1;0;0;0;0;0;0;3;2;1;0;0;0;0;-;0;1;0;0;0;1;1;0;0;3;0;0;1;1;1;-;0;22
SR-Rez80;76;gt;Welt am Sonntag, 16.03.2003, S. 5 (gt).;1;Bericht aus der Pathologie;0;2;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;4;0;0;1;1;1;-;0;15
SR-Rez81;77;Lottmann, Joachim;die tageszeitung, 05.07.2003 (Lottmann, Joachim);1;Roman, Liebesroman;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;-;0;126
SR-Rez82;78;Bartels, Gerrit;die tageszeitung, 09.08.2003, S. 13 (Gerrit Bartels).;2;Roman;0;7;4;4;1;2;2;1;3;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;1;0;3;0;1;0;0;0;-;0;15
SR-Rez83;11;Bartmann, Christoph;Die Presse (Spectrum), 09.08.2003, S. VI (Christoph Bartmann).;2;Roman, Jugoslawien-Roman;0;4;1;1;1;2;2;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;-;0;15
SR-Rez84;79;Böttiger, Helmut;Stuttgarter Zeitung, 01.08.2003, S. 32 (Helmut Böttiger).;2;Roman;0;6;1;1;1;4;4;1;5;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;0;0;3;0;0;1;0;0;-;0;7
SR-Rez85;80;Breitenstein, Andreas;Neue Zürcher Zeitung, 29.07.2003, S. 33 (Andreas Breitenstein).;2;Roman, Schlüsselroman, Entwicklungsroman, Verkümmerungsroman;1;11;6;6;1;4;4;1;5;0;1;1;0;5;0;5;5;0;0;0;0;0;0;0;1;-;0;2;0;0;0;1;1;0;0;3;0;1;0;1;1;-;0;4
SR-Rez86;81;Fetscher, Caroline;Der Tagesspiegel, 01.08.2003, S. 25 (Caroline Fetscher).;2;Balkan-Roman;0;10;2;2;1;7;7;1;8;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;0;0;3;0;0;1;1;0;1;0;7
